phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,condition,run_name,strategy,components,clinical_rows_added_pre_augmentation,public_training_rows,clinical_training_rows,clinical_training_groups,hybrid_base_train_rows,hybrid_virtual_train_rows,public_validation_mean_foreground_dice,contains_private_paths,contains_sample_hashes,contains_patient_hashes
val,18,0.12015034611882834,0.8641823527367282,0.8054062673293559,0.06295836607049478,725,91,33.888552394000726,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.834794310033042,False,False,False
train,19,0.04967193381849283,0.9337572083334833,0.9195919818661369,0.027934528802555574,3864,483,221.5026130369988,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,19,0.12641627934472313,0.8551817072910819,0.8050142087238148,0.0626589303518089,725,91,33.60291788700124,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8300979580074483,False,False,False
train,20,0.0468476550040408,0.9373930671643294,0.9246701075443821,0.0267720007299494,3864,483,230.46798435899836,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,20,0.12682410455983262,0.8566667827345736,0.8096665319146598,0.06317891710576899,725,91,42.022027532999346,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8331666573246167,False,False,False
train,21,0.044697190652260126,0.9400172342875501,0.9285723438387153,0.025677418927828505,3864,483,262.9196987569994,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,21,0.12771754205226898,0.8609747876415418,0.7949259196337417,0.06493048074569283,725,91,40.58069074599916,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8279503536376418,False,False,False
train,22,0.04416186587333556,0.9408828020254247,0.9291441069802678,0.024721457326174798,3864,483,233.9863078369999,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,22,0.11628681108869356,0.8695873043079477,0.8128485528036473,0.0640124178131205,725,91,33.58024275800199,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8412179285557975,False,False,False
train,23,0.04218710990580219,0.9433970713323652,0.9315628681292303,0.024535205425583875,3864,483,220.86493484699895,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,23,0.12931412024744626,0.8543953829844096,0.8083151223511345,0.07010832526360472,725,91,33.28855834099886,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8313552526677721,False,False,False
train,24,0.04084723024372605,0.9447997755874635,0.9366812420321535,0.02305348848207399,3864,483,226.7478466859975,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,24,0.1256716095168015,0.8641892448625023,0.8017647303897631,0.06561686397188338,725,91,39.45845880500201,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8329769876261327,False,False,False
train,25,0.03850110986619015,0.9486805949905094,0.9414171307194934,0.02147952696354602,3864,483,258.2450713440012,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,25,0.11994556920281772,0.8655766102796381,0.8115669392639542,0.061314692857199225,725,91,40.020968808999896,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8385717747717961,False,False,False
