phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,run_name,model_name,encoder_name,strategy_name,component_strategies,augmentation_mode,synthetic_copy_count,image_size,batch_size,learning_rate,weight_decay,val_mean_foreground_dice
val,3,0.1935397761238032,0.7742015481630546,0.7265147436267669,0.1224725502681752,725,91,25.13178373198025,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7503581458949108
train,4,0.1377701339361119,0.8530071841709498,0.7703170276924143,0.0778667737507428,3822,478,163.2363850119873,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,4,0.1356062178776182,0.8475470493188777,0.7983631399358653,0.0699237286026007,725,91,25.11288756795693,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8229550946273715
train,5,0.1237532012262062,0.8644052277269241,0.7863674640383996,0.0729222089661634,3822,478,163.32385352195706,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,5,0.1326806456878267,0.8521673805158715,0.7954681993638772,0.0630463867582247,725,91,25.480339604022447,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8238177899398744
train,1,1.0087300374955797,0.554004499026831,0.505784289627466,0.2869996075767353,3822,478,169.49057580000954,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,1,0.5686640921132318,0.6495720891332022,0.6343746871770061,0.1158366003422576,725,91,25.488996447995305,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.6419733881551042
train,2,0.3110580060617391,0.7792052330927745,0.6956487149980508,0.1083985504884489,3822,478,169.6900163280079,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,2,0.2206732419441486,0.7873720512001406,0.7185561418268888,0.0985435541405893,725,91,24.91949215898057,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7529640965135147
train,3,0.1753635854230757,0.8240954681110921,0.736694538156937,0.0897401696413652,3822,478,167.82145818398567,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,3,0.1888264312415287,0.7840365096502276,0.7361019421018393,0.0814451620404503,725,91,24.85507419501664,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7600692258760335
train,4,0.143460334961418,0.8461012741025729,0.7586023015711785,0.0819682416029635,3822,478,167.95633409003494,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,4,0.1336704278197781,0.8501620278876288,0.7922857065095312,0.0642165730031864,725,91,25.363215785007924,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8212238671985801
train,5,0.1253572121020825,0.8629611958930656,0.785721953856078,0.0746490220418273,3822,478,168.758321153,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,5,0.1371729904413223,0.8546078690188558,0.7944340214878552,0.0732686531705204,725,91,25.556180720974226,,combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8245209452533555
train,1,1.0039412796434963,0.5465013146491932,0.4880982112450702,0.2861194747606287,3822,478,164.50980757101206,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,1,0.5479169290641258,0.633452433475952,0.7031139522651477,0.174083613145507,725,91,24.88531406398397,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.6682831928705499
